Otu,phylum,subphylum,class,order,family,genus,species,trophic.mode,guild
Otu144,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Aspicilia_sp|SH238581.06FU,Pathotroph,Lichen Parasite
Otu1968,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pyricularia_sp|SH230953.06FU,Pathotroph,Lichen Parasite
Otu2082,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu2124,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Ascomycota_sp|SH227812.06FU,Pathotroph,Lichen Parasite
Otu2226,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Chaetothyriales_sp|SH228270.06FU,Pathotroph,Lichen Parasite
Otu2448,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Peziza_sp|SH235922.06FU,Pathotroph,Lichen Parasite
Otu2534,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Meliniomyces_sp|SH215088.06FU,Pathotroph,Lichen Parasite
Otu2671,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu2837,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu2930,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Helicosporium_sp|SH232278.06FU,Pathotroph,Lichen Parasite
Otu3081,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu3185,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu3256,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Eurotiales_sp|SH213221.06FU,Pathotroph,Lichen Parasite
Otu340,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu364,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Venturiaceae_sp|SH232828.06FU,Pathotroph,Lichen Parasite
Otu3730,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Cyphellophora_fusarioides|SH232795.06FU,Pathotroph,Lichen Parasite
Otu3759,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu393,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Chaetothyriales_sp|SH232791.06FU,Pathotroph,Lichen Parasite
Otu4039,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pyricularia_sp|SH230953.06FU,Pathotroph,Lichen Parasite
Otu4332,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Xerochrysium_xerophilum|SH225993.06FU,Pathotroph,Lichen Parasite
Otu4582,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Rhizoscyphus_ericae|SH234184.06FU,Pathotroph,Lichen Parasite
Otu4666,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Hyaloscyphaceae_sp|SH189798.06FU,Pathotroph,Lichen Parasite
Otu473,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Meliniomyces_sp|SH215088.06FU,Pathotroph,Lichen Parasite
Otu4806,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Helicosporium_sp|SH232278.06FU,Pathotroph,Lichen Parasite
Otu489,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Elaphocordyceps_capitata|SH224002.06FU,Pathotroph,Lichen Parasite
Otu5023,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pezizaceae_sp|SH214109.06FU,Pathotroph,Lichen Parasite
Otu5042,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Buellia_sp|SH239126.06FU,Pathotroph,Lichen Parasite
Otu5101,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Rhizocarpon_geographicum|SH230920.06FU,Pathotroph,Lichen Parasite
Otu5160,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Dothideomycetes_sp|SH238906.06FU,Pathotroph,Lichen Parasite
Otu5993,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu6143,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Peziza_sp|SH235922.06FU,Pathotroph,Lichen Parasite
Otu6187,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Ascomycota_sp|SH218883.06FU,Pathotroph,Lichen Parasite
Otu6316,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Ascomycota_sp|SH218883.06FU,Pathotroph,Lichen Parasite
Otu6331,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Dirinaria_sp_BRY_C56057|SH224261.06FU,Pathotroph,Lichen Parasite
Otu6971,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu7115,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Naumovozyma_sp_QMW_2012|SH236489.06FU,Pathotroph,Lichen Parasite
Otu7148,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Microdiplodia_sp|SH224138.06FU,Pathotroph,Lichen Parasite
Otu720,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Tothia_fuscella|SH195931.06FU,Pathotroph,Lichen Parasite
Otu7214,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pyricularia_sp|SH230953.06FU,Pathotroph,Lichen Parasite
Otu7273,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu7292,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Reddellomyces_westraliensis|SH228056.06FU,Pathotroph,Lichen Parasite
Otu739,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Ascomycota_sp|SH211488.06FU,Pathotroph,Lichen Parasite
Otu7520,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Helicosporium_sp|SH232278.06FU,Pathotroph,Lichen Parasite
Otu7545,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Lasiosphaeriaceae_sp|SH223698.06FU,Pathotroph,Lichen Parasite
Otu7653,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Cladoriella_eucalypti|SH233933.06FU,Pathotroph,Lichen Parasite
Otu7654,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu7943,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pezizaceae_sp|SH217998.06FU,Pathotroph,Lichen Parasite
Otu8094,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Ophiocordyceps_rubiginosiperitheciata|SH227646.06FU,Pathotroph,Lichen Parasite
Otu8274,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Chaetothyriales_sp|SH228270.06FU,Pathotroph,Lichen Parasite
Otu8506,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Sticta_duplolimbata|SH225442.06FU,Pathotroph,Lichen Parasite
Otu8560,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Dothiorella_sp|SH195688.06FU,Pathotroph,Lichen Parasite
Otu8592,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Eurotiales_sp|SH213221.06FU,Pathotroph,Lichen Parasite
Otu8614,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu8818,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Chaetothyriales_sp|SH228270.06FU,Pathotroph,Lichen Parasite
Otu883,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Knufia_perforans|SH209750.06FU,Pathotroph,Lichen Parasite
Otu887,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Naumovozyma_sp_QMW_2012|SH236489.06FU,Pathotroph,Lichen Parasite
Otu889,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Lichen Parasite
Otu9010,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Chaetothyriales_sp|SH214499.06FU,Pathotroph,Lichen Parasite
Otu5592,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Gymnoascus_sp|SH231012.06FU,Symbiotroph,Lichenized
Otu7,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Naumovozyma_sp_QMW_2012|SH236489.06FU,Symbiotroph,Lichenized
Otu7343,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporales,Acarosporaceae,Pleopsidium,Physcia_sp|SH191319.06FU,Symbiotroph,Lichenized
Otu8751,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporales,Acarosporaceae,Pleopsidium,Physcia_dimidiata_var_ornata|SH191300.06FU,Symbiotroph,Lichenized
Otu8783,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Pulchromyces_fimicola|SH227367.06FU,Symbiotroph,Lichenized
Otu1040,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu1074,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Ascomycota_sp|SH209748.06FU,NA,NA
Otu1287,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Auxarthron_kuehnii|SH217889.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu1362,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Dothideomycetes_sp|SH232444.06FU,Pathotroph,Plant Pathogen
Otu1368,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Scutellinia_sp|SH230992.06FU,Pathotroph,Plant Pathogen
Otu1404,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu1506,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Meliniomyces_sp|SH215088.06FU,Pathotroph,Plant Pathogen
Otu1508,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH219442.06FU,NA,NA
Otu1803,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu1859,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Capronia_peltigerae|SH209735.06FU,NA,NA
Otu1887,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Ascomycota_sp|SH226964.06FU,Pathotroph,Plant Pathogen
Otu1933,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu2169,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Mallochia_reticulata|SH217888.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu218,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu2210,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Capronia_peltigerae|SH209735.06FU,NA,NA
Otu2380,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Dothideomycetes_sp|SH190252.06FU,NA,NA
Otu2450,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Tiarosporella,Sphaeropsis_sapinea|SH236129.06FU,Symbiotroph,Endophyte
Otu256,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH219442.06FU,NA,NA
Otu2590,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209754.06FU,NA,NA
Otu2602,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH219442.06FU,NA,NA
Otu2618,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Thermomyces_lanuginosus|SH198685.06FU,Pathotroph,Plant Pathogen
Otu2673,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
