sample,PC1.soil,PC2.soil,PCNM1,log.beta,log.nag,log.phos,fungal.spec.richness,bacterial.fisher.alpha,bacterial.spec.richness,MAP,plant.shannon,jacc.f.nmds1,horn.b.nmds1
1DMN.1,-5.296172324,-2.934186496,-0.077018538,8.820748384,7.251247706,9.020025197,216,1704.363403,2974,649.4969875,0,-0.340959976,-0.005836755
1DMN.2,-1.857216761,-1.791477206,-0.077018538,8.931821342,7.815872513,9.580501773,231,2746.927597,3276,649.4969875,0,-0.082012198,0.000458925
1DMN.3,-1.179480433,0.600881904,-0.077018538,9.364482283,7.062620859,10.45470256,200,2470.137132,3050,649.4969875,0,-0.128455123,-0.002757357
1DMN.4,-2.495798312,-1.511305019,-0.077018538,9.315715633,8.223896305,9.56081525,241,1739.069368,2020,649.4969875,0,-0.271038017,-0.002151376
1DMN.5,-3.944617801,-0.077934101,-0.077018538,9.682022205,8.017445192,9.826701409,238,2010.069631,2411,649.4969875,0,-0.183521929,-0.002924229
1DML.1,-0.783202947,1.655956475,-0.075752203,9.596438621,7.944688056,8.916481273,191,2517.727139,2898,651.1268,1.321117074,-0.464608534,1.17635780412682e-05
1DML.2,-0.386719313,2.374992912,-0.075752203,10.52663503,8.397903403,11.32432475,140,2378.905341,2860,651.1268,1.321117074,-0.387546323,0.002883759
1DML.3,-1.709184271,1.08003409,-0.075752203,9.805962887,8.027075175,10.39770263,225,1974.321652,3454,651.1268,1.321117074,-0.361299231,-0.002574489
1DML.4,-2.108904872,1.655016027,-0.075752203,8.637133798,8.640911728,10.08127913,210,1754.90318,2411,651.1268,1.321117074,-0.51731852,-0.001810281
1DML.5,-1.335979281,1.743766059,-0.075752203,9.360701401,8.371073604,9.764464988,219,1937.300759,3564,651.1268,1.321117074,-0.389489417,-1.73E-05
1UMN.1,2.954266271,1.014040484,-0.077081681,9.70882638,8.452064121,10.91346851,191,1926.617531,1983,649.10752,0.047635816,0.599019508,0.004590797
1UMN.2,2.242857527,0.951200517,-0.077081681,9.685577943,9.015273267,11.28842268,198,2712.092302,3868,649.10752,0.047635816,0.325951849,0.007539956
1UMN.3,1.576475718,0.01832919,-0.077081681,9.910241615,9.154650068,11.45045835,130,2537.84832,3176,649.10752,0.047635816,0.133551222,0.000732073
1UMN.4,2.851578071,0.598906948,-0.077081681,8.94484139,8.123733734,10.26538419,188,2227.740898,2594,649.10752,0.047635816,0.1952556,0.003480938
1UMN.5,2.809409346,1.538534267,-0.077081681,8.178666467,6.660055486,9.551060413,125,2544.997497,2426,649.10752,0.047635816,0.489460421,0.005934174
1UML.1,1.943381395,1.768711989,-0.077074021,8.399174558,NA,9.613370468,253,3158.913514,3321,649.119616,1.586310919,0.13964323,0.001145977
1UML.2,-0.407705238,0.913860919,-0.077074021,8.709045723,8.070565379,9.884003004,145,1888.482212,2440,649.119616,1.586310919,0.06447003,-0.009186993
1UML.3,0.685014984,0.446728541,-0.077074021,9.197600027,7.859641122,10.55824792,245,2867.950125,2951,649.119616,1.586310919,0.249865613,0.008805188
1UML.4,0.54495171,0.589233282,-0.077074021,8.847257004,7.420425649,10.08737016,119,1351.81245,697,649.119616,1.586310919,0.126479824,0.005765188
1UML.5,1.819768547,0.934314633,-0.077074021,9.109046068,7.586779977,10.54780664,208,2603.447274,3712,649.119616,1.586310919,0.174397673,0.002798378
3DMN.1,2.308228859,-0.581431323,0.234860051,8.609113967,8.165270067,8.648126636,151,960.2216638,746,655.0952,0.163038582,0.272136603,0.012024024
3DMN.2,-0.118852306,-1.344538541,0.234860051,8.322962551,8.623796342,9.028607093,145,1046.886339,2113,655.0952,0.163038582,0.081101399,0.016883938
3DMN.3,0.603628525,-0.564716219,0.234860051,9.124727704,9.077243391,10.46630381,125,1587.855077,2632,655.0952,0.163038582,0.054423182,0.011523084
3DMN.4,0.842246551,0.714433779,0.234860051,9.747466294,8.180411619,11.19466003,207,3099.372132,3077,655.0952,0.163038582,0.171376539,0.011029933
3DMN.5,2.018280138,-0.145013104,0.234860051,9.177725554,8.725698839,10.66123834,160,696.9689029,103,655.0952,0.163038582,0.128292276,0.006149066
3UMN.1,2.516079431,-0.115325734,0.226682968,9.122432137,8.577050122,9.557140095,148,1208.485245,1914,653.4302296,0,0.386284106,0.007601647
3UMN.2,-0.36062586,-0.430997852,0.226682968,8.890613697,8.054443939,10.37136929,161,1581.385506,2999,653.4302296,0,-0.26765278,0.001567196
3UMN.3,-1.408569067,-0.464479072,0.226682968,9.605108824,8.668841752,10.66966198,140,1939.890737,2438,653.4302296,0,-0.308992322,-0.008530616
3UMN.5,-1.595508723,0.291176914,0.226682968,8.931749853,7.841783104,9.838618459,172,2088.861141,3207,653.4302296,0,-0.258011452,-0.005636891
3UML.1,0.739548112,0.123274614,0.234883313,9.416333851,8.26314097,10.36565928,148,2491.493213,3473,653.5109357,1.453264009,-0.22299505,-0.001882664
3UML.2,-2.810389638,-1.297336782,0.234883313,8.636844125,8.047795957,8.752554115,171,1141.492502,1266,653.5109357,1.453264009,-0.481062544,-0.000445417
3UML.3,-3.169463773,1.038319064,0.234883313,10.03822785,7.974126879,9.452429631,133,1384.655602,2714,653.5109357,1.453264009,-0.667347304,-0.009486067
3UML.4,0.777766442,0.003611418,0.234883313,9.299477173,7.590193075,9.80349207,236,2308.551958,3112,653.5109357,1.453264009,-0.316212714,0.000140251
3UML.5,-0.392565106,0.24817026,0.234883313,9.447985456,8.041004545,10.38618273,219,2717.459453,3583,653.5109357,1.453264009,-0.209895067,-0.002140328
2DMN.1,-3.356014706,-0.36281232,-0.077168331,9.109117932,7.34329526,8.971177988,126,1886.791229,3049,648.9599723,0.163023629,-0.560414244,-0.01583696
2DMN.2,-4.313430555,-2.04497564,-0.077168331,8.66654324,7.464854223,9.323883693,211,2166.352181,3373,648.9599723,0.163023629,-0.201008244,0.002577941
2DMN.3,-2.495783791,1.200006616,-0.077168331,9.552617998,8.345579798,7.739247088,150,1749.437433,2730,648.9599723,0.163023629,-0.498065351,-0.022359648
