"plot","MAP","sample","Active_C_mgkg.1","C.mgperkg","N.mgperkg","P.mgperkg","Mg.mgperkg","Mn.mgperkg","Fe.mgperkg","K.mgperkg","Ca.mgperkg","pH","Beta_umolgSOC.1h.1","Nag_umolgSOC.1h.1","Phos_umolgSOC.1h.1","log.beta","log.nag","block","invasion","disturbance","vegetation.type","Sequencing.name","fungal.spec.richness","fungal.fisher.alpha","bacterial.spec.richness","bacterial.fisher.alpha","plant.shannon","plant.invsimpson","plant.spec.richness","PC1.soil","PC2.soil"
"1DGN",649.36791552,"1DGN.1",1043.706,6940,730,160,1338,423,386,1781,8036,6.89,25680.13516,11509.36052,64757.51441,10.1534730210299,9.35091594152783,1,"Invaded","Disturbed","Grassland",8020,236,61.24926101,2535,2593.632426,1.035790213,1.767686266,10,-2.49849653794017,-1.48976952393249
"1DGN",649.36791552,"1DGN.2",994.1502,6140,620,300,2643,950,1052,2937,13133,6.13,13952.39443,2141.007003,29348.06645,9.54340641624801,7.66903155948578,1,"Invaded","Disturbed","Grassland",8021,175,43.50441899,2726,2237.868983,1.035790213,1.767686266,10,-4.34587082346545,2.90519351871667
"1DGN",649.36791552,"1DGN.3",1029.206,5240,560,153,1376,440,396,1685,5722,5.96,19465.95878,4896.92958,64145.05668,9.87642251544593,8.49636367136613,1,"Invaded","Disturbed","Grassland",8022,217,56.0447519,1983,2258.113475,1.035790213,1.767686266,10,-1.04759708348538,-0.587665007512617
"1DGN",649.36791552,"1DGN.4",902.8529,5420,670,259,980,438,590,1804,7982,7.33,18866.61882,3819.999262,2300.856181,9.84514943947755,8.24800550840689,1,"Invaded","Disturbed","Grassland",8023,214,54.40363515,3442,2771.610767,1.035790213,1.767686266,10,-1.77452440377068,0.73728820694266
"1DGN",649.36791552,"1DGN.5",996.6737,5860,630,243,1229,340,449,2016,10584,8.75,17020.48022,6556.482082,17881.60836,9.74217261677046,8.78820947010722,1,"Invaded","Disturbed","Grassland",8024,87,26.27631065,1725,2109.93625,1.035790213,1.767686266,10,-2.96043816875644,-0.0571270203252911
"1DGL",649.456088640001,"1DGL.1",914.3328,4300,540,160,1299,635,1041,2276,6129,5.34,13412.18919,4346.541395,94486.21953,9.50391921351109,8.37713572622851,1,"Uninvaded","Disturbed","Grassland",8015,224,60.78954429,3380,2742.087206,1.52906733,3.523002128,10,-0.569645898750596,2.17830351076545
"1DGL",649.456088640001,"1DGL.2",1016.416,4300,510,152,812,470,643,1447,4484,5.4,8922.941542,2886.138528,21482.96809,9.09638094049463,7.96767473818185,1,"Uninvaded","Disturbed","Grassland",8016,200,55.08389617,2173,2190.005421,1.52906733,3.523002128,10,0.807258265158879,0.47337389271264
"1DGL",649.456088640001,"1DGL.3",987.7673,4440,470,163,1331,744,1296,2550,6026,5.73,8894.57991,5318.278829,31836.63784,9.09319737132869,8.57890500160563,1,"Uninvaded","Disturbed","Grassland",8017,220,58.24952182,3168,2482.850454,1.52906733,3.523002128,10,-0.947571595408322,2.69742660320273
"1DGL",649.456088640001,"1DGL.4",975.656,5010,520,138,644,336,601,1470,2874,6.7,13099.81357,6016.547106,53638.51218,9.48035327779027,8.70226880331653,1,"Uninvaded","Disturbed","Grassland",8018,199,51.70540022,2603,2413.459345,1.52906733,3.523002128,10,1.13719824688901,-0.431390638346853
"1DGL",649.456088640001,"1DGL.5",1006.066,6430,680,146,712,323,568,1346,3279,6.95,9455.843438,26586.84498,74382.45316,9.15438818261372,10.1881718228157,1,"Uninvaded","Disturbed","Grassland",8019,264,68.29864001,3192,2761.099519,1.52906733,3.523002128,10,0.180515163765641,-1.3817604555851
"1UGN",649.667230720001,"1UGN.1",1031.3,7740,850,147,1092,406,749,1594,6735,5.54,11150.86734,4089.135917,68137.98656,9.31927256220372,8.31608895947962,1,"Invaded","Undisturbed","Grassland",8000,240,63.17435119,1999,2733.712325,0,1,1,-1.36188056510978,-0.962314293131743
"1UGN",649.667230720001,"1UGN.2",923.633,7250,750,141,952,399,567,1375,5022,6.39,7215.647572,363.4373379,10829.52069,8.88400722074931,5.89560689669397,1,"Invaded","Undisturbed","Grassland",8001,211,53.27510487,3830,2955.795963,0,1,1,-0.711016183574476,-1.25851646110656
"1UGN",649.667230720001,"1UGN.3",977.8219,2700,310,165,570,334,708,1246,3028,6.04,17739.28133,5240.386296,51950.67519,9.78353674376901,8.56415049520854,1,"Invaded","Undisturbed","Grassland",8002,186,48.93990465,3423,2253.324189,0,1,1,3.07908223933134,1.91533131263167
