block,invasion,disturbance,vegetation.type,sample,Sequencing.name,plot,fungal.spec.richness,fungal.fisher.alpha,bacterial.spec.richness,bacterial.fisher.alpha,plant.shannon,plant.invsimpson,plant.spec.richness,Beta_umolgSOC.1h.1,Nag_umolgSOC.1h.1,Phos_umolgSOC.1h.1
1,Invaded,Disturbed,Grassland,1DGN.1,8020,1DGN,236,61.24926101,2535,2593.632426,1.035790213,1.767686266,10,25680.13516,11509.36052,64757.51441
1,Invaded,Disturbed,Grassland,1DGN.2,8021,1DGN,175,43.50441899,2726,2237.868983,1.035790213,1.767686266,10,13952.39443,2141.007003,29348.06645
1,Invaded,Disturbed,Grassland,1DGN.3,8022,1DGN,217,56.0447519,1983,2258.113475,1.035790213,1.767686266,10,19465.95878,4896.92958,64145.05668
1,Invaded,Disturbed,Grassland,1DGN.4,8023,1DGN,214,54.40363515,3442,2771.610767,1.035790213,1.767686266,10,18866.61882,3819.999262,2300.856181
1,Invaded,Disturbed,Grassland,1DGN.5,8024,1DGN,87,26.27631065,1725,2109.93625,1.035790213,1.767686266,10,17020.48022,6556.482082,17881.60836
1,Invaded,Disturbed,Woody patch,1DMN.1,8010,1DMN,216,54.63390212,2974,1704.363403,0,1,1,6773.331781,1409.862845,8266.985382
1,Invaded,Disturbed,Woody patch,1DMN.2,8011,1DMN,231,61.27950548,3276,2746.927597,0,1,1,7569.038634,2479.649535,14479.683
1,Invaded,Disturbed,Woody patch,1DMN.3,8012,1DMN,200,51.54316845,3050,2470.137132,0,1,1,11666.56437,1167.501015,34707.2044
1,Invaded,Disturbed,Woody patch,1DMN.4,8013,1DMN,241,63.45736929,2020,1739.069368,0,1,1,11111.27495,3729.00345,14197.41592
1,Invaded,Disturbed,Woody patch,1DMN.5,8014,1DMN,238,63.78617165,2411,2010.069631,0,1,1,16026.87381,3033.417626,18521.75765
1,Invaded,Undisturbed,Grassland,1UGN.1,8000,1UGN,240,63.17435119,1999,2733.712325,0,1,1,11150.86734,4089.135917,68137.98656
1,Invaded,Undisturbed,Grassland,1UGN.2,8001,1UGN,211,53.27510487,3830,2955.795963,0,1,1,7215.647572,363.4373379,10829.52069
1,Invaded,Undisturbed,Grassland,1UGN.3,8002,1UGN,186,48.93990465,3423,2253.324189,0,1,1,17739.28133,5240.386296,51950.67519
1,Invaded,Undisturbed,Grassland,1UGN.4,8003,1UGN,226,59.60978207,3374,2506.716459,0,1,1,25087.39222,6516.137778,86895.58796
1,Invaded,Undisturbed,Grassland,1UGN.5,8004,1UGN,160,39.79013034,3439,2882.23397,0,1,1,15115.51009,8093.123343,53027.00557
1,Invaded,Undisturbed,Woody patch,1UMN.1,7990,1UMN,191,51.37361197,1983,1926.617531,0.047635816,1.014758529,3,16462.27008,4684.732616,54910.97467
1,Invaded,Undisturbed,Woody patch,1UMN.2,7991,1UMN,198,48.35512493,3868,2712.092302,0.047635816,1.014758529,3,16083.9626,8227.794436,79891.33478
1,Invaded,Undisturbed,Woody patch,1UMN.3,7992,1UMN,130,38.22776808,3176,2537.84832,0.047635816,1.014758529,3,20135.53846,9458.320111,93944.39592
1,Invaded,Undisturbed,Woody patch,1UMN.4,7993,1UMN,188,47.30941153,2594,2227.740898,0.047635816,1.014758529,3,7668.232236,3373.59336,28721.00989
1,Invaded,Undisturbed,Woody patch,1UMN.5,7994,1UMN,125,34.25027249,2426,2544.997497,0.047635816,1.014758529,3,3564.098648,780.5942476,14059.59575
1,Uninvaded,Disturbed,Grassland,1DGL.1,8015,1DGL,224,60.78954429,3380,2742.087206,1.52906733,3.523002128,10,13412.18919,4346.541395,94486.21953
1,Uninvaded,Disturbed,Grassland,1DGL.2,8016,1DGL,200,55.08389617,2173,2190.005421,1.52906733,3.523002128,10,8922.941542,2886.138528,21482.96809
1,Uninvaded,Disturbed,Grassland,1DGL.3,8017,1DGL,220,58.24952182,3168,2482.850454,1.52906733,3.523002128,10,8894.57991,5318.278829,31836.63784
