"plot","MAP","sample","Active_C_mgkg.1","C.mgperkg","N.mgperkg","P.mgperkg","Mg.mgperkg","Mn.mgperkg","Fe.mgperkg","K.mgperkg","Ca.mgperkg","pH","Beta_umolgSOC.1h.1","Nag_umolgSOC.1h.1","Phos_umolgSOC.1h.1","log.beta","log.nag","block","invasion","disturbance","vegetation.type","Sequencing.name","fungal.spec.richness","fungal.fisher.alpha","bacterial.spec.richness","bacterial.fisher.alpha","plant.shannon","plant.invsimpson","plant.spec.richness","PC1.soil","PC2.soil"
"1DMN",649.496987520001,"1DMN.1",1074.604,27910,2890,1049,5079,736,402,4832,29159,6.37,6773.331781,1409.862845,8266.985382,8.82074838384121,7.25124770559124,1,"Invaded","Disturbed","Motte",8010,216,54.63390212,2974,1704.363403,0,1,1,-5.2961723241164,-2.93418649556736
"1DMN",649.496987520001,"1DMN.2",1092.541,12855,1315,644,2196,531,616,3860,12378,5.95,7569.038634,2479.649535,14479.683,8.93182134153712,7.81587251264065,1,"Invaded","Disturbed","Motte",8011,231,61.27950548,3276,2746.927597,0,1,1,-1.85721676071696,-1.79147720562229
"1DMN",649.496987520001,"1DMN.3",946.3023,8870,850,461,2237,511,474,4476,9315,6.95,11666.56437,1167.501015,34707.2044,9.36448228347929,7.06262085892169,1,"Invaded","Disturbed","Motte",8012,200,51.54316845,3050,2470.137132,0,1,1,-1.17948043309487,0.600881904409813
"1DMN",649.496987520001,"1DMN.4",1002.672,18840,1900,521,2243,513,510,3680,12677,6.33,11111.27495,3729.00345,14197.41592,9.3157156330253,8.22389630535941,1,"Invaded","Disturbed","Motte",8013,241,63.45736929,2020,1739.069368,0,1,1,-2.49579831150638,-1.51130501886685
"1DMN",649.496987520001,"1DMN.5",1081.927,14240,1520,427,3654,714,383,4803,25335,7.87,16026.87381,3033.417626,18521.75765,9.68202220537426,8.01744519224194,1,"Invaded","Disturbed","Motte",8014,238,63.78617165,2411,2010.069631,0,1,1,-3.94461780080705,-0.0779341007422011
"1DML",651.126800000001,"1DML.1",1053.772,9510,1050,125,1430,620,397,2998,10305,6.82,14712.29211,2820.552471,7453.815089,9.59643862130727,7.9446880564461,1,"Uninvaded","Disturbed","Motte",8005,191,46.66758851,2898,2517.727139,1.321117074,2.225478469,10,-0.783202947358171,1.6559564746875
"1DML",651.126800000001,"1DML.2",1069.373,6950,780,125,1434,556,333,2795,10318,7.13,37295.76403,4437.752806,82811.70978,10.5266350343036,8.39790340252712,1,"Uninvaded","Disturbed","Motte",8006,140,38.43803968,2860,2378.905341,1.321117074,2.225478469,10,-0.386719312652476,2.37499291180924
"1DML",651.126800000001,"1DML.3",1046.647,10980,1180,241,1828,526,251,1887,18113,7.03,18141.59936,3062.770492,32784.22149,9.80596288736804,8.02707517487102,1,"Uninvaded","Disturbed","Motte",8007,225,57.82093384,3454,1974.321652,1.321117074,2.225478469,10,-1.70918427080124,1.08003409012863
"1DML",651.126800000001,"1DML.4",998.6034,11660,1380,157,2001,706,315,3405,15005,7.23,5637.149438,5658.486472,23891.52647,8.63713379793065,8.64091172766354,1,"Uninvaded","Disturbed","Motte",8008,210,53.86895454,2411,1754.90318,1.321117074,2.225478469,10,-2.10890487227769,1.65501602743802
"1DML",651.126800000001,"1DML.5",1026.807,8770,1215,201,1516,589,293,2085,13024,7.73,11622.53774,4320.271836,17404.16784,9.36070140070939,8.37107360425846,1,"Uninvaded","Disturbed","Motte",8009,219,56.07087437,3564,1937.300759,1.321117074,2.225478469,10,-1.33597928101333,1.74376605926259
"1UMN",649.10752,"1UMN.1",1023.922,6040,640,135,659,383,673,1195,5334,5.23,16462.27008,4684.732616,54910.97467,9.70882637966699,8.45206412068524,1,"Invaded","Undisturbed","Motte",7990,191,51.37361197,1983,1926.617531,0.047635816,1.014758529,3,2.9542662711026,1.01404048425377
"1UMN",649.10752,"1UMN.2",1022.889,6470,680,154,942,409,552,1148,6981,5.21,16083.9626,8227.794436,79891.33478,9.68557794272225,9.01527326698968,1,"Invaded","Undisturbed","Motte",7991,198,48.35512493,3868,2712.092302,0.047635816,1.014758529,3,2.24285752742182,0.951200517359816
"1UMN",649.10752,"1UMN.3",1043.346,5395,570,405,1222,392,707,1671,9049,5.59,20135.53846,9458.320111,93944.39592,9.91024161541618,9.15465006815867,1,"Invaded","Undisturbed","Motte",7992,130,38.22776808,3176,2537.84832,0.047635816,1.014758529,3,1.57647571824786,0.0183291904925939
"1UMN",649.10752,"1UMN.4",944.7038,7380,750,175,648,290,704,1156,5745,5.32,7668.232236,3373.59336,28721.00989,8.94484139009189,8.12373373420656,1,"Invaded","Undisturbed","Motte",7993,188,47.30941153,2594,2227.740898,0.047635816,1.014758529,3,2.85157807145271,0.598906948405801
"1UMN",649.10752,"1UMN.5",1055.689,5250,560,132,739,371,651,1155,5250,6.01,3564.098648,780.5942476,14059.59575,8.17866646721999,6.66005548551618,1,"Invaded","Undisturbed","Motte",7994,125,34.25027249,2426,2544.997497,0.047635816,1.014758529,3,2.80940934560921,1.5385342666859
"1UML",649.119616,"1UML.1",1060.483,5210,560,130,1025,388,599,1466,9070,6.15,4443.397466,0,14963.51925,8.39917455785885,-Inf,1,"Uninvaded","Undisturbed","Motte",7985,253,64.94100464,3321,3158.913514,1.586310919,4.039946341,8,1.94338139453101,1.76871198882328
"1UML",649.119616,"1UML.2",928.2831,12710,1300,192,956,404,629,1911,15896,7.64,6057.459237,3198.909913,19614.08096,8.70904572332425,8.07056537856518,1,"Uninvaded","Undisturbed","Motte",7986,145,34.05984849,2440,1888.482212,1.586310919,4.039946341,8,-0.407705238041478,0.913860919040931
"1UML",649.119616,"1UML.3",1054.714,9160,1080,150,1176,392,497,1615,9304,5.59,9873.404694,2590.590502,38493.625,9.19760002674404,7.85964112175731,1,"Uninvaded","Undisturbed","Motte",7987,245,62.35595576,2951,2867.950125,1.586310919,4.039946341,8,0.685014983563352,0.446728541058624
"1UML",649.119616,"1UML.4",1063.768,8870,1080,167,1033,289,581,1740,9695,6.82,6955.284464,1669.744081,24037.49448,8.84725700416815,7.42042564875742,1,"Uninvaded","Undisturbed","Motte",7988,119,31.08660348,697,1351.81245,1.586310919,4.039946341,8,0.544951709654916,0.589233282202786
"1UML",649.119616,"1UML.5",1002.082,7900,810,139,1038,273,632,1369,7236,6.02,9036.670405,1971.953544,38093.79329,9.1090460675095,7.58677997707576,1,"Uninvaded","Undisturbed","Motte",7989,208,54.25691225,3712,2603.447274,1.586310919,4.039946341,8,1.81976854724225,0.934314632658879
"3DMN",655.0952,"3DMN.1",1064.198,8260,820,285,693,298,581,1069,4214,5.25,5481.389831,3516.670944,5699.459564,8.60911396658187,8.16527006653868,3,"Invaded","Disturbed","Motte",8090,151,35.05897245,746,960.2216638,0.163038582,1.067119062,3,2.30822885893573,-0.58143132344173
"3DMN",655.0952,"3DMN.2",1067.11,9420,970,444,1939,452,597,2321,12599,4.78,4117.339788,5562.463376,8338.237091,8.32296255127657,8.62379634236293,3,"Invaded","Disturbed","Motte",8091,145,34.73118297,2113,1046.886339,0.163038582,1.067119062,3,-0.118852305879904,-1.34453854132596
"3DMN",655.0952,"3DMN.3",946.1085,10100,1060,344,1418,294,565,1991,9386,5.26,9179.497133,8753.801931,35112.1958,9.12472770357383,9.07724339138109,3,"Invaded","Disturbed","Motte",8092,125,29.35747352,2632,1587.855077,0.163038582,1.067119062,3,0.603628525346045,-0.5647162186014
"3DMN",655.0952,"3DMN.4",1023.69,5930,575,306,1641,413,497,2848,7331,5.6,17110.82006,3570.323971,72740.96808,9.74746629443436,8.18041161883559,3,"Invaded","Disturbed","Motte",8093,207,51.69978957,3077,3099.372132,0.163038582,1.067119062,3,0.842246551187587,0.714433778725542
"3DMN",655.0952,"3DMN.5",1063.322,7100,730,269,886,283,562,1268,5998,5.37,9679.113099,6159.179437,42669.44366,9.17772555406894,8.72569883937533,3,"Invaded","Disturbed","Motte",8094,160,39.5292101,103,696.9689029,0.163038582,1.067119062,3,2.01828013847487,-0.145013104341881
"3UMN",653.4302295744,"3UMN.1",948.4336,7240,750,290,629,292,670,1903,4566,4.97,9158.449157,5308.423204,14145.33398,9.12243213732993,8.57705012173883,3,"Invaded","Undisturbed","Motte",8070,148,37.25416537,1914,1208.485245,0,1,1,2.5160794307855,-0.115325733996809
"3UMN",653.4302295744,"3UMN.2",1078.128,11670,1240,266,1218,452,479,1650,12219,5.93,7263.47539,3147.752356,31932.17147,8.89061369713345,8.05444393935266,3,"Invaded","Undisturbed","Motte",8071,161,39.20051388,2999,1581.385506,0,1,1,-0.360625859505467,-0.430997851549851
"3UMN",653.4302295744,"3UMN.3",1077.046,10880,1180,432,1898,443,360,1992,17073,6.26,14840.40524,5818.755882,43030.39403,9.60510882362616,8.6688417518949,3,"Invaded","Undisturbed","Motte",8072,140,33.9797271,2438,1939.890737,0,1,1,-1.4085690665314,-0.464479071526081
"3UMN",653.4302295744,"3UMN.5",1039.573,10020,1140,322,2199,742,451,2045,22381,6.47,7568.497555,2544.738323,18743.80279,8.93174985315309,7.84178310365899,3,"Invaded","Undisturbed","Motte",8074,172,44.23299074,3207,2088.861141,0,1,1,-1.59550872332396,0.291176913643755
