sample,treatment,disturbance,vegetation,invasion,replicate,block,Acalypha.radians,Acleisanthes.longiflora,Ambrosia.psilostachya,Aphanostephus.skirrhobasis,Aristida.longespica,Bare,Bothriochloa.ischaemum,Bothriochloa.laguroides,Bulbostylis.capillaris,Callirhoe.involucrata,Carlowrightia.texana,Celtis.pallida,Cenchrus.ciliaris,Cenchrus.spinifex,Chaemesyce.glyptosperma,Chamaecrista.fasciculata,Chloris.cucullata,Chloris.subdolichostachya,Chloris.virgata,Cirsium.texanum,Cissus.incisa,Clematis.drummondii,Commelina.erecta,Convolvulus.equitans,Conyza.canadensis,Coreopsis.tinctoria,Croptilon.rigidifolium,Croton.capitatus,Croton.glandulosus,Cylindropuntia.leptocaulis,Cynodon.dactylon,Cyperus.macrocephalus,Cyperus.retrorsus,Cyperus.thyrsiflorus,Daucus.pusillus,Descurainia.pinnata,Desmanthus.obtusus,Dichanthelium.acuminatum,Dichanthelium.oligosanthes,Digitaria.patens,Digitaria.pubiflora,Digitaria.texana,Diodia.teres,Ditaxis.humilis,Eragrostis.elliottii,Eragrostis.secundiflora,Eragrostis.sessilispica,Evolvulus.alsinoides,F1,F4,F5.Sticky,F6,Forestiera.angustifolia,Froelichia.interrupta,Funastrum.cynanchoides,Gaillardia.pulchella,Galactia.canescens,Grass.unknown,Oenothera.curtiflora,Heteropogon.contortus,Heterotheca.subaxillaris,Hypericum.drummondii,Hypericum.pauciflorum,Isocoma.drummondii,Juncus.marginatus,Justicia.pilosella,Lantana.urticoides,Lepidium.lasiocarpum,Lepidium.virginicum,Leptochloa.dubia,Lobelia.berlandieri,Lobelia.puberula,Malva.unknown,Megathyrsus.maximus,Melinis.repens,Menodora.heterophylla,Menodora.scabra,Mimosa.latidens,Modiola.caroliniana,Monarda.punctata.lasiodonta,Nama.hispida,Neptunia.pubescens,Oenothera.laciniata,Oxalis.berlandieri,Oxalis.stricta,Palafoxia.texana.ambigua,Panicum.capillarioides,Panicum.texanum,Parietaria.pensylvanica,Parthenium.confertum,Paspalum.dilatatum,Paspalum.setaceum,Passiflora.unknown,Polygala.alba,Portulaca.umbraticola,Prosopis.unknown,Rhynchosia.americana,Rhynchosia.senna,Setaria.unknown,Setaria.scheelei,Sida.unknown1,Sida.unknown2,Sporobolus.cryptandrus,Sporobolus.pyramidatus,Thatch,Verbesina.encelioides,Zanthoxylum.fagara
1DGL.1,DGL,disturbed,grassland,uninvaded,1,1,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
2DGL.1,DGL,disturbed,grassland,uninvaded,1,2,0,0,11,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,3,0,30,0,0
3DGL.1,DGL,disturbed,grassland,uninvaded,1,3,0,0,35,0,15,20,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1DGL.2,DGL,disturbed,grassland,uninvaded,2,1,0,0,13,0,0,9,0,0,0,0,0,0,0,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
2DGL.2,DGL,disturbed,grassland,uninvaded,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4,0,0,0,0,0,0,0,20,3,0
3DGL.2,DGL,disturbed,grassland,uninvaded,2,3,0,0,40,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0
1DGN.1,DGN,disturbed,grassland,invaded,1,1,0,0,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
2DGN.1,DGN,disturbed,grassland,invaded,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
3DGN.1,DGN,disturbed,grassland,invaded,1,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
1DGN.2,DGN,disturbed,grassland,invaded,2,1,0,0,0,0,1,15,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0
2DGN.2,DGN,disturbed,grassland,invaded,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
3DGN.2,DGN,disturbed,grassland,invaded,2,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
1DML.1,DML,disturbed,motte,uninvaded,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,50,10,0
