sample,block,Rep,Plot_ind,Treatments,disturbance,vegetation.type,invasion,Beta_umolgSOC-1h-1,Nag_umolgSOC-1h-1,Phos_umolgSOC-1h-1,Beta:Nag,Beta:Phos,Nag:Phos,Beta_Prop,Nag_Prop,Phos_Prop,SOC.percent,N.percent,H.percent,S.percentIR,C:N,C:P,N:P,pH,ActiveC.to.TotalC,Active_C_mgkg-1,C.mgperkg,N.mgperkg,P.mgperkg,Mg.mgperkg,Mn.mgperkg,Fe.mgperkg,K.mgperkg,Ca.mgperkg,Ca_NoHIGH.mgperkg,Clay.percent,Sand.percent,Silt.percent,Texture.class
1DGL.1,1,1,1A,DGL,Disturbed,Grassland,Uninvaded,13412.18919,4346.541395,94486.21953,3.09,0.14,0.05,0.119,0.039,0.842,0.43,0.054,0.22,0,7.963,26.88,3.38,5.34,0.212635535,914.3328,4300,540,160,1299,635,1041,2276,6129,6129,15.6,76.4,8,Sandy Loam
1DGL.2,1,2,1A,DGL,Disturbed,Grassland,Uninvaded,8922.941542,2886.138528,21482.96809,3.09,0.42,0.13,0.268,0.087,0.645,0.43,0.051,0.088,0.01,8.4314,28.29,3.36,5.4,0.236375814,1016.416,4300,510,152,812,470,643,1447,4484,4484,15.6,76.4,8,Sandy Loam
1DGL.3,1,3,1A,DGL,Disturbed,Grassland,Uninvaded,8894.57991,5318.278829,31836.63784,1.67,0.28,0.17,0.193,0.115,0.691,0.444,0.047,0.212,0,9.4468,27.24,2.88,5.73,0.222470113,987.7673,4440,470,163,1331,744,1296,2550,6026,6026,15.6,76.4,8,Sandy Loam
1DGL.4,1,4,1A,DGL,Disturbed,Grassland,Uninvaded,13099.81357,6016.547106,53638.51218,2.18,0.24,0.11,0.18,0.083,0.737,0.501,0.052,0.199,0.01,9.6346,36.3,3.77,6.7,0.194741717,975.656,5010,520,138,644,336,601,1470,2874,2874,15.6,76.4,8,Sandy Loam
1DGL.5,1,5,1A,DGL,Disturbed,Grassland,Uninvaded,9455.843438,26586.84498,74382.45316,0.36,0.13,0.36,0.086,0.241,0.674,0.643,0.068,0.335,0.004,9.4559,44.04,4.66,6.95,0.156464386,1006.066,6430,680,146,712,323,568,1346,3279,3279,15.6,76.4,8,Sandy Loam
1DGN.1,1,1,1B,DGN,Disturbed,Grassland,Invaded,25680.13516,11509.36052,64757.51441,2.23,0.4,0.18,0.252,0.113,0.635,0.694,0.073,0.26,0,9.5068,43.38,4.56,6.89,0.150389914,1043.706,6940,730,160,1338,423,386,1781,8036,8036,16.1,75.4,8.5,Sandy Loam
1DGN.2,1,2,1B,DGN,Disturbed,Grassland,Invaded,13952.39443,2141.007003,29348.06645,6.52,0.48,0.07,0.307,0.047,0.646,0.614,0.062,0.15,0.017,9.9032,20.47,2.07,6.13,0.161913713,994.1502,6140,620,300,2643,950,1052,2937,13133,13133,16.1,75.4,8.5,Sandy Loam
1DGN.3,1,3,1B,DGN,Disturbed,Grassland,Invaded,19465.95878,4896.92958,64145.05668,3.98,0.3,0.08,0.22,0.055,0.725,0.524,0.056,0.108,0.01,9.3571,34.25,3.66,5.96,0.196413359,1029.206,5240,560,153,1376,440,396,1685,5722,5722,16.1,75.4,8.5,Sandy Loam
1DGN.4,1,4,1B,DGN,Disturbed,Grassland,Invaded,18866.61882,3819.999262,2300.856181,4.94,8.2,1.66,0.755,0.153,0.092,0.542,0.067,0.173,0.018,8.0896,20.93,2.59,7.33,0.166578026,902.8529,5420,670,259,980,438,590,1804,7982,7982,16.1,75.4,8.5,Sandy Loam
1DGN.5,1,5,1B,DGN,Disturbed,Grassland,Invaded,17020.48022,6556.482082,17881.60836,2.6,0.95,0.37,0.411,0.158,0.431,0.586,0.063,0.259,0,9.3016,24.12,2.59,8.75,0.170080836,996.6737,5860,630,243,1229,340,449,2016,10584,10584,16.1,75.4,8.5,Sandy Loam
1DML.1,1,1,1C,DML,Disturbed,Motte,Uninvaded,14712.29211,2820.552471,7453.815089,5.22,1.97,0.38,0.589,0.113,0.298,0.951,0.105,0.368,0.019,9.0571,76.08,8.4,6.82,0.11080673,1053.772,9510,1050,125,1430,620,397,2998,10305,10305,16.6,76.4,7,Sandy Loam
1DML.2,1,2,1C,DML,Disturbed,Motte,Uninvaded,37295.76403,4437.752806,82811.70978,8.4,0.45,0.05,0.299,0.036,0.665,0.695,0.078,0.285,0,8.9103,55.6,6.24,7.13,0.153866619,1069.373,6950,780,125,1434,556,333,2795,10318,10318,16.6,76.4,7,Sandy Loam
1DML.3,1,3,1C,DML,Disturbed,Motte,Uninvaded,18141.59936,3062.770492,32784.22149,5.92,0.55,0.09,0.336,0.057,0.607,1.098,0.118,0.293,0.022,9.3051,45.56,4.9,7.03,0.095323042,1046.647,10980,1180,241,1828,526,251,1887,18113,18113,16.6,76.4,7,Sandy Loam
